title,soldprice,solddate,bids,link
Shure SM7B Microphone,295.0,Sold  18 Feb 2021,20 bids,https://www.ebay.co.uk/itm/Shure-SM7B-Microphone/184660321782?hash=item2afe9ce5f6%3Ag%3Ach8AAOSweANgJUHH&LH_Auction=1
Shure SM7B Cardioid Dynamic Vocal Studio Recording Microphone,302.0,Sold  17 Feb 2021,10 bids,https://www.ebay.co.uk/itm/Shure-SM7B-Cardioid-Dynamic-Vocal-Studio-Recording-Microphone/402686658835?epid=1705167324&hash=item5dc1fec913%3Ag%3AeYoAAOSwIvZgJDld&LH_Auction=1
Shure SM7B Cardioid Dynamic Vocal Studio Recording Microphone,304.0,Sold  5 Feb 2021,10 bids,https://www.ebay.co.uk/itm/Shure-SM7B-Cardioid-Dynamic-Vocal-Studio-Recording-Microphone/184644516306?epid=1705167324&hash=item2afdabb9d2%3Ag%3Ad-sAAOSww2NgFB4q&LH_Auction=1
Shure SM7B Microphone (Ex Display/Unused),311.0,Sold  1 Feb 2021,22 bids,https://www.ebay.co.uk/itm/Shure-SM7B-Microphone-Ex-Display-Unused/284160641088?hash=item42294b4840%3Ag%3AonIAAOSw6FJgDzAX&LH_Auction=1
Shure SM7B Microphone,315.0,Sold  26 Jan 2021,35 bids,https://www.ebay.co.uk/itm/Shure-SM7B-Microphone/265024860655?hash=item3db4b671ef%3Ag%3AgVwAAOSwyodgDFyR&LH_Auction=1
"Shure SM7B, Motu M2, Fethead, Boom Arm - SM7B Bundle!",580.0,Sold  21 Jan 2021,14 bids,https://www.ebay.co.uk/itm/Shure-SM7B-Motu-M2-Fethead-Boom-Arm-SM7B-Bundle/203247805797?hash=item2f52836565%3Ag%3AdhQAAOSweVxgAHqr&LH_Auction=1
Thomann MB 7 Beta Microphone not Shure SM 7 B,80.0,Sold  11 Jan 2021,9 bids,https://www.ebay.co.uk/itm/Thomann-MB-7-Beta-Microphone-not-Shure-SM-7-B/174582989115?hash=item28a5f5013b%3Ag%3Ad1QAAOSwzEpf81NH&LH_Auction=1
Shure SM7B Cardioid Dynamic Microphone ,200.0,Sold  10 Jan 2021,1 bid,https://www.ebay.co.uk/itm/Shure-SM7B-Cardioid-Dynamic-Microphone/133631788786?epid=7032265308&hash=item1f1d1346f2%3Ag%3An7sAAOSwdrVf-I8d&LH_Auction=1
Shure Wired Vocal Microphone - Black (SM7B) WITH CLOUDLIFTER,403.0,Sold  6 Jan 2021,19 bids,https://www.ebay.co.uk/itm/Shure-Wired-Vocal-Microphone-Black-SM7B-WITH-CLOUDLIFTER/264995064127?epid=1705167324&hash=item3db2efc93f%3Ag%3ADKMAAOSwaxJf7Ik1&LH_Auction=1
Shure SM7B Microphone,310.0,Sold  6 Jan 2021,23 bids,https://www.ebay.co.uk/itm/Shure-SM7B-Microphone/164619402505?hash=item265414bd09%3Ag%3AdvgAAOSw1Qxf7xqV&LH_Auction=1
Shure SM7B Dynamic Vocal Microphone,295.0,Sold  20 Dec 2020,5 bids,https://www.ebay.co.uk/itm/Shure-SM7B-Dynamic-Vocal-Microphone/154248977654?hash=item23e9f49cf6%3Ag%3AzroAAOSwVYZf222L&LH_Auction=1
Shure SM7B Dynamic Vocal Microphone,250.0,Sold  20 Dec 2020,1 bid,https://www.ebay.co.uk/itm/Shure-SM7B-Dynamic-Vocal-Microphone/154252640757?hash=item23ea2c81f5%3Ag%3AzroAAOSwVYZf222L&LH_Auction=1
Shure SM7B Dynamic Broadcast Vocal Microphone w/ Windshield + Free Pop Shield,291.0,Sold  18 Dec 2020,13 bids,https://www.ebay.co.uk/itm/Shure-SM7B-Dynamic-Broadcast-Vocal-Microphone-w-Windshield-Free-Pop-Shield/193789081586?epid=1705167324&hash=item2d1ebab7f2%3Ag%3AnJcAAOSwAp1fz3V%7E&LH_Auction=1
Shure SM7B Cardioid dynamic Vocal microphone,310.0,Sold  9 Dec 2020,15 bids,https://www.ebay.co.uk/itm/Shure-SM7B-Cardioid-dynamic-Vocal-microphone/203205935187?epid=1705167324&hash=item2f50048053%3Ag%3AeK4AAOSwdo5fx7Ms&LH_Auction=1
