,title,handle,created,product_type,price,sku,available,image
0,Gift for Good,gift-for-good,2021-02-19T12:42:29-06:00,dk-donation,10.00,DK DONATION,True,https://cdn.shopify.com/s/files/1/0048/2912/products/dailykarma-dk-donation-do-good-with-helm-boots-gift-for-good-17053368877118.png?v=1613760290
1,Blackrock Leather 'n Rich,blackrock-leather-n-rich,2016-06-20T14:39:52-05:00,Boot Care,10.00,BLCKRK001,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-boot-care-blackrock-leather-n-rich-11762694021.jpg?v=1512675442
2,Venetian Leather Balm,vscream,2013-02-13T14:33:49-06:00,Boot Care,10.00,9999999,False,https://cdn.shopify.com/s/files/1/0048/2912/products/venetian-shoe-cream-boot-care-venetian-shoe-cream-16000130185.jpg?v=1512677208
3,Hollis Onyx,hollis-onyx,2020-06-10T14:14:14-05:00,Boots,269.00,HBB508016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-hollis-onyx-16525176963134.jpg?v=1604082834
4,HELM Logo Cap - Black,helm-logo-cap-black,2020-11-13T13:44:02-06:00,Accessories,35.00,HLMBLY_003,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-accessories-helm-logo-cap-black-16591666118718.jpg?v=1605296841
5,HELM Logo Cap - Charcoal,helm-logo-cap-charcoal,2020-11-13T13:48:14-06:00,Accessories,35.00,HLMBLY_004,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-accessories-helm-logo-cap-charcoal-16591679094846.jpg?v=1605297086
6,Johnson Brown,johnson-brown,2020-06-10T12:41:33-05:00,Boots,350.00,HBB902016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-johnson-brown-16544093732926.jpg?v=1604516727
7,Johnson Burgundy,johnson-burgundy,2020-06-10T13:18:50-05:00,Boots,315.00,HBB903016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-johnson-burgundy-16282837975102.jpg?v=1604424165
8,Johnson Black,johnson-black,2020-06-09T14:35:59-05:00,Boots,350.00,HBB901016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-johnson-black-16282828963902.jpg?v=1600120249
9,Hollis Chocolate,hollis-chocolate,2020-06-10T14:08:10-05:00,Boots,269.00,HBB507016,False,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-hollis-chocolate-16525152682046.jpg?v=1604082886
10,Pablo Teak,pablo-teak,2020-06-29T14:25:19-05:00,Boots,350.00,HBB323016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-pablo-teak-16446149984318.jpg?v=1602613849
11,HELM Logo Cap - Navy,helm-logo-cap-navy,2018-11-19T08:38:28-06:00,Accessories,35.00,HLMBLY_002,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-accessories-helm-logo-cap-navy-5814539681854.jpg?v=1543872092
12,Cole Brown,cole-brown,2020-06-15T15:48:10-05:00,Sneakers,225.00,HBB804015,False,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-brown-16337384276030.jpg?v=1600971382
13,Cole Chocolate,cole-chocolate,2020-06-15T15:38:46-05:00,Sneakers,225.00,HBB807015,False,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-sneakers-cole-chocolate-16337350852670.jpg?v=1600970924
14,Ryder Olive,ryder-olive,2020-06-18T13:24:06-05:00,Boots,315.00,HBB223016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-ryder-olive-16282800390206.jpg?v=1600119405
15,Ryder Dark Natural,ryder-dark-natural,2020-06-18T13:19:17-05:00,Boots,315.00,HBB222016,True,https://cdn.shopify.com/s/files/1/0048/2912/products/helm-boots-ryder-dark-natural-16282795606078.jpg?v=1600119562
